gene,pooled_effect,pooled_se,i_squared,p_value,n_studies,q_stat,fdr,tier
ASTN2,0.43025949194394475,0.10989591621661844,0.0,9.034633178612022e-05,8,5.484897957902979,0.029049636098128804,core_reproducible
BTG1,-0.45642195005493447,0.11014726313183093,0.0,3.4168265534068246e-05,8,6.669856262333768,0.029049636098128804,core_reproducible
CKS2,-0.4500461392835999,0.11010871445072214,0.0,4.3644327639264085e-05,8,6.673776082397928,0.029049636098128804,core_reproducible
COL5A3,0.42739611874047284,0.1099404167065402,0.0,0.00010127155896401343,8,6.251564972044406,0.029049636098128804,core_reproducible
CSGALNACT1,0.4431346692829034,0.11008270332730073,0.0,5.686152099030307e-05,8,6.861477851441393,0.029049636098128804,core_reproducible
ELN,0.42957268832269113,0.10992962404620098,0.0,9.317645973825359e-05,8,5.952074880378688,0.029049636098128804,core_reproducible
HSD11B1,-0.42654804363560056,0.10991287189135633,0.0,0.00010412055949150109,8,5.994032716429631,0.029049636098128804,core_reproducible
IFI44,0.4295288865226764,0.10993803396874581,0.0,9.344568002812661e-05,8,6.045777494957573,0.029049636098128804,core_reproducible
LIPT1,-0.4807477654864676,0.11024907952908128,0.0,1.2972979097475767e-05,8,6.042622774911171,0.029049636098128804,core_reproducible
NUDT4,0.440636753481537,0.10996816041808354,0.0,6.15082726765255e-05,8,5.62230010357808,0.029049636098128804,core_reproducible
RPL36,-0.44109754589675004,0.11001460250863886,0.0,6.086151409352059e-05,8,6.195207542180242,0.029049636098128804,core_reproducible
SAA1,-0.43646534783114327,0.10993170940109458,0.0,7.177264795427288e-05,8,5.514334750076931,0.029049636098128804,core_reproducible
SHB,0.4331616166885949,0.11000967980508143,0.0,8.233960143804322e-05,8,6.678567852052572,0.029049636098128804,core_reproducible
WNT2,0.45365751398347604,0.11003595780655127,0.0,3.742759442644276e-05,8,5.508777942643825,0.029049636098128804,core_reproducible
ZNF331,-0.4422199295623696,0.11001514185638768,0.0,5.8290140077910066e-05,8,6.11753420668065,0.029049636098128804,core_reproducible
NNAT,-0.4478216612123529,0.11181139744540523,0.005884951362720444,6.197757018370778e-05,8,7.041438523232811,0.029049636098128804,core_reproducible
OPCML,0.46158961400490234,0.11497898627160422,0.017033972552167334,5.9557726065288505e-05,8,7.121304098550343,0.029049636098128804,core_reproducible
TBCEL,0.47590252367435865,0.12132177705609253,0.041549365213702144,8.75813676502226e-05,8,7.303453872259956,0.029049636098128804,core_reproducible
GSTM3,-0.42259657349423047,0.1099336675840669,0.0,0.00012099314155331976,8,6.503788718135231,0.030381377844038594,core_reproducible
