task,feature_set,model,split_family,metric,point_estimate,ci_low,ci_high,n
keloid_binary,low_i2_core_only,elastic_net_logreg,grouped,weighted_f1,0.7033724114800001,0.6549934053768334,0.7517726123591666,15
keloid_binary,low_i2_core_only,elastic_net_logreg,leave_accession_out,weighted_f1,0.58005826362,0.44073052211325003,0.7059892482949999,10
keloid_binary,low_i2_core_only,hist_gradient_boosting,grouped,weighted_f1,0.6186245886666667,0.5517715517775,0.6875873934886666,15
keloid_binary,low_i2_core_only,hist_gradient_boosting,leave_accession_out,weighted_f1,0.52741115323,0.36708052320350004,0.6789414511542499,10
keloid_binary,low_i2_core_only,knn,grouped,weighted_f1,0.6219922590066668,0.5385969904741668,0.690350632851,15
keloid_binary,low_i2_core_only,knn,leave_accession_out,weighted_f1,0.49861657969,0.3385571485935,0.6485873736415,10
keloid_binary,low_i2_core_only,linear_svm,grouped,weighted_f1,0.7002977165933333,0.6532009081835,0.7508090172998332,15
keloid_binary,low_i2_core_only,linear_svm,leave_accession_out,weighted_f1,0.56957528178,0.43242635192975,0.6977879428034999,10
keloid_binary,low_i2_core_only,majority,grouped,weighted_f1,0.27121458551333333,0.1404802001,0.4143335934569999,15
keloid_binary,low_i2_core_only,majority,leave_accession_out,weighted_f1,0.31970183427000004,0.2465229043825,0.40592249348424997,10
keloid_binary,low_i2_core_only,random_forest,grouped,weighted_f1,0.6245406567800001,0.5552814367433334,0.693572033956,15
keloid_binary,low_i2_core_only,random_forest,leave_accession_out,weighted_f1,0.49774592535,0.352755606301,0.6345561257195,10
keloid_binary,low_i2_core_only,small_mlp,grouped,weighted_f1,0.5999607253199998,0.4895055091326667,0.6897884973631667,15
keloid_binary,low_i2_core_only,small_mlp,leave_accession_out,weighted_f1,0.43960746843000004,0.3103912137655,0.5829152236972499,10
keloid_binary,low_i2_core_only,stratified_random,grouped,weighted_f1,0.49261361282666677,0.4423974929665,0.5422600626536668,15
keloid_binary,low_i2_core_only,stratified_random,leave_accession_out,weighted_f1,0.51846248652,0.4440188036927501,0.598682868182,10
keloid_binary,modules_only,elastic_net_logreg,grouped,weighted_f1,0.6832760379533334,0.6451740514905,0.7223880569040001,15
keloid_binary,modules_only,elastic_net_logreg,leave_accession_out,weighted_f1,0.65481072514,0.5730583614635,0.7423430100974998,10
keloid_binary,modules_only,hist_gradient_boosting,grouped,weighted_f1,0.6186999664533334,0.5674520354348334,0.6631939252455,15
keloid_binary,modules_only,hist_gradient_boosting,leave_accession_out,weighted_f1,0.6395446733900001,0.567520917368,0.7127911232684999,10
keloid_binary,modules_only,knn,grouped,weighted_f1,0.6280027224933333,0.5750569891355,0.6776887212425,15
keloid_binary,modules_only,knn,leave_accession_out,weighted_f1,0.55326268804,0.39750257739500006,0.70791706778225,10
keloid_binary,modules_only,linear_svm,grouped,weighted_f1,0.6858585305866668,0.64781114946,0.7243419970846666,15
keloid_binary,modules_only,linear_svm,leave_accession_out,weighted_f1,0.64867474559,0.56876493002825,0.7319658685932499,10
keloid_binary,modules_only,majority,grouped,weighted_f1,0.27121458551333333,0.1404802001,0.4143335934569999,15
keloid_binary,modules_only,majority,leave_accession_out,weighted_f1,0.31970183427000004,0.2465229043825,0.40592249348424997,10
keloid_binary,modules_only,random_forest,grouped,weighted_f1,0.6625770235066668,0.6063302575795001,0.7168834683465,15
keloid_binary,modules_only,random_forest,leave_accession_out,weighted_f1,0.5866260716000001,0.432515719996,0.72964272822775,10
keloid_binary,modules_only,small_mlp,grouped,weighted_f1,0.6257116390266667,0.562427234944,0.6787007144841666,15
keloid_binary,modules_only,small_mlp,leave_accession_out,weighted_f1,0.57119116062,0.4472985129822501,0.6750169769230001,10
keloid_binary,modules_only,stratified_random,grouped,weighted_f1,0.49261361282666677,0.4423974929665,0.5422600626536668,15
keloid_binary,modules_only,stratified_random,leave_accession_out,weighted_f1,0.51846248652,0.4440188036927501,0.598682868182,10
keloid_binary,profibrotic_module_only,elastic_net_logreg,grouped,weighted_f1,0.7188386211933333,0.6690822505920001,0.7702461632350001,15
keloid_binary,profibrotic_module_only,elastic_net_logreg,leave_accession_out,weighted_f1,0.6363965060400001,0.4851539678560001,0.77193927123525,10
keloid_binary,profibrotic_module_only,hist_gradient_boosting,grouped,weighted_f1,0.6037851805866669,0.5250982804873334,0.6643683866841665,15
keloid_binary,profibrotic_module_only,hist_gradient_boosting,leave_accession_out,weighted_f1,0.58927288936,0.49370930298200005,0.6733238542694999,10
keloid_binary,profibrotic_module_only,knn,grouped,weighted_f1,0.6129805321466667,0.5733720183601667,0.6518383925508333,15
keloid_binary,profibrotic_module_only,knn,leave_accession_out,weighted_f1,0.58278120981,0.4792892069412501,0.6798600569582501,10
keloid_binary,profibrotic_module_only,linear_svm,grouped,weighted_f1,0.7232408596533334,0.6756177791245,0.7711597602001667,15
keloid_binary,profibrotic_module_only,linear_svm,leave_accession_out,weighted_f1,0.63420679657,0.4851682581835001,0.76885492057975,10
keloid_binary,profibrotic_module_only,majority,grouped,weighted_f1,0.27121458551333333,0.1404802001,0.4143335934569999,15
keloid_binary,profibrotic_module_only,majority,leave_accession_out,weighted_f1,0.31970183427000004,0.2465229043825,0.40592249348424997,10
keloid_binary,profibrotic_module_only,random_forest,grouped,weighted_f1,0.6365454493066667,0.6113031456488334,0.6638477350915001,15
keloid_binary,profibrotic_module_only,random_forest,leave_accession_out,weighted_f1,0.57951749224,0.485010383831,0.6702354238825,10
keloid_binary,profibrotic_module_only,small_mlp,grouped,weighted_f1,0.6783345778066666,0.6136192689053334,0.7401181437925001,15
keloid_binary,profibrotic_module_only,small_mlp,leave_accession_out,weighted_f1,0.6514269607800001,0.5456015639855001,0.7509258139205001,10
keloid_binary,profibrotic_module_only,stratified_random,grouped,weighted_f1,0.49261361282666677,0.4423974929665,0.5422600626536668,15
keloid_binary,profibrotic_module_only,stratified_random,leave_accession_out,weighted_f1,0.51846248652,0.4440188036927501,0.598682868182,10
keloid_binary,published_markers_only,elastic_net_logreg,grouped,weighted_f1,0.70272192428,0.6497620871928333,0.7591537484071667,15
keloid_binary,published_markers_only,elastic_net_logreg,leave_accession_out,weighted_f1,0.57607118548,0.4695998147495,0.6872789049560001,10
keloid_binary,published_markers_only,hist_gradient_boosting,grouped,weighted_f1,0.6488786634399999,0.591581114861,0.6958171582283332,15
keloid_binary,published_markers_only,hist_gradient_boosting,leave_accession_out,weighted_f1,0.63024972441,0.5354923475112501,0.7117190393074999,10
keloid_binary,published_markers_only,knn,grouped,weighted_f1,0.61434156228,0.5381875488218333,0.6731481696438334,15
keloid_binary,published_markers_only,knn,leave_accession_out,weighted_f1,0.44967658161,0.33019284181375,0.5766390163572499,10
keloid_binary,published_markers_only,linear_svm,grouped,weighted_f1,0.70272892076,0.65157637403,0.7580512779994999,15
keloid_binary,published_markers_only,linear_svm,leave_accession_out,weighted_f1,0.59890853582,0.477052731858,0.7120186636607501,10
keloid_binary,published_markers_only,majority,grouped,weighted_f1,0.27121458551333333,0.1404802001,0.4143335934569999,15
keloid_binary,published_markers_only,majority,leave_accession_out,weighted_f1,0.31970183427000004,0.2465229043825,0.40592249348424997,10
keloid_binary,published_markers_only,random_forest,grouped,weighted_f1,0.6477973359733334,0.5710945530008333,0.7096146883725001,15
keloid_binary,published_markers_only,random_forest,leave_accession_out,weighted_f1,0.5820489768,0.48199477070850005,0.6809056900532501,10
keloid_binary,published_markers_only,small_mlp,grouped,weighted_f1,0.5957227922266668,0.5489951439638333,0.637439552904,15
keloid_binary,published_markers_only,small_mlp,leave_accession_out,weighted_f1,0.5358493612600002,0.42638703538000006,0.62770774601575,10
keloid_binary,published_markers_only,stratified_random,grouped,weighted_f1,0.49261361282666677,0.4423974929665,0.5422600626536668,15
keloid_binary,published_markers_only,stratified_random,leave_accession_out,weighted_f1,0.51846248652,0.4440188036927501,0.598682868182,10
keloid_binary,shared_genes,elastic_net_logreg,grouped,weighted_f1,0.7421497560333333,0.6765394244106667,0.8014299926606667,15
keloid_binary,shared_genes,elastic_net_logreg,leave_accession_out,weighted_f1,0.5542838343200001,0.46570831837950005,0.66092839231775,10
keloid_binary,shared_genes,hist_gradient_boosting,grouped,weighted_f1,0.55678708294,0.4747094126505001,0.6322776510578333,15
keloid_binary,shared_genes,hist_gradient_boosting,leave_accession_out,weighted_f1,0.5693932659500001,0.48319137672550005,0.66140807937725,10
keloid_binary,shared_genes,knn,grouped,weighted_f1,0.5795408041666666,0.4884119042611667,0.6633465200778333,15
keloid_binary,shared_genes,knn,leave_accession_out,weighted_f1,0.4065176082,0.2952371855377501,0.53951422472525,10
keloid_binary,shared_genes,linear_svm,grouped,weighted_f1,0.6731395401266665,0.5903818975559999,0.7445008065173333,15
keloid_binary,shared_genes,linear_svm,leave_accession_out,weighted_f1,0.51547556055,0.3824774594995,0.6437238550237501,10
keloid_binary,shared_genes,majority,grouped,weighted_f1,0.27121458551333333,0.1404802001,0.4143335934569999,15
keloid_binary,shared_genes,majority,leave_accession_out,weighted_f1,0.31970183427000004,0.2465229043825,0.40592249348424997,10
keloid_binary,shared_genes,random_forest,grouped,weighted_f1,0.53868406976,0.4673622094246667,0.6093189418101668,15
keloid_binary,shared_genes,random_forest,leave_accession_out,weighted_f1,0.40459580423999997,0.29356557384900006,0.52547196165025,10
