task,split_name,feature_set,model,n_train,n_test,train_label_counts,test_label_counts,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,majority,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.46511627906976744,0.2953119232189,0.5,0.31746031746031744,0.5,"[[0, 69], [0, 60]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,stratified_random,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.4573643410852713,0.4520559487698011,0.4644927536231884,0.45471014492753625,0.4644927536231884,"[[25, 44], [26, 34]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,elastic_net_logreg,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.5891472868217055,0.5888989023750709,0.5865942028985507,0.5866634423553594,0.6176328502415458,"[[43, 26], [27, 33]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,linear_svm,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.5193798449612403,0.5088399292805658,0.530072463768116,0.5127923976608186,0.6176328502415458,"[[26, 43], [19, 41]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,random_forest,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6511627906976745,0.6504015529250561,0.6478260869565218,0.6481178396072014,0.6704106280193237,"[[48, 21], [24, 36]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,hist_gradient_boosting,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6201550387596899,0.6203383505585631,0.6188405797101448,0.6186885443687036,0.6516908212560387,"[[44, 25], [24, 36]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,knn,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6434108527131783,0.6438400644937354,0.643840579710145,0.642874337987482,0.6380434782608696,"[[44, 25], [21, 39]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,profibrotic_module_only,small_mlp,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.627906976744186,0.6204706588762384,0.6184782608695653,0.6156901688182721,0.6,"[[52, 17], [31, 29]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,majority,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.46511627906976744,0.2953119232189,0.5,0.31746031746031744,0.5,"[[0, 69], [0, 60]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,stratified_random,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.4573643410852713,0.4520559487698011,0.4644927536231884,0.45471014492753625,0.4644927536231884,"[[25, 44], [26, 34]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,elastic_net_logreg,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.7209302325581395,0.7212322561159771,0.7228260869565217,0.7207792207792207,0.807487922705314,"[[48, 21], [15, 45]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,linear_svm,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.7829457364341085,0.7811404906021027,0.777536231884058,0.779109589041096,0.8236714975845411,"[[59, 10], [18, 42]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,random_forest,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6046511627906976,0.6014076662677764,0.6119565217391305,0.6031248114857936,0.7400966183574879,"[[35, 34], [17, 43]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,hist_gradient_boosting,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.5813953488372093,0.5677161305068281,0.5945652173913043,0.5721130221130221,0.7028985507246376,"[[28, 41], [13, 47]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,knn,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.7286821705426356,0.728518143077877,0.7268115942028985,0.7270418958950486,0.7305555555555556,"[[52, 17], [18, 42]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes_plus_modules,small_mlp,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6046511627906976,0.6025083506649019,0.6108695652173912,0.6037940379403794,0.7456521739130434,"[[36, 33], [18, 42]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,majority,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.46511627906976744,0.2953119232189,0.5,0.31746031746031744,0.5,"[[0, 69], [0, 60]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,stratified_random,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.4573643410852713,0.4520559487698011,0.4644927536231884,0.45471014492753625,0.4644927536231884,"[[25, 44], [26, 34]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,elastic_net_logreg,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6821705426356589,0.6823239259775734,0.681159420289855,0.6809434759003439,0.7125603864734299,"[[48, 21], [20, 40]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,linear_svm,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6666666666666666,0.6668275321228208,0.6655797101449276,0.6653797430174337,0.688647342995169,"[[47, 22], [21, 39]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,random_forest,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6666666666666666,0.6648599819331527,0.6731884057971015,0.6659439927732611,0.7632850241545893,"[[40, 29], [14, 46]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,hist_gradient_boosting,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6434108527131783,0.6410037900024669,0.6503623188405797,0.6423577627772421,0.7495169082125603,"[[38, 31], [15, 45]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,knn,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6744186046511628,0.6745751341681575,0.6771739130434782,0.6743990384615385,0.72487922705314,"[[44, 25], [17, 43]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,published_markers_only,small_mlp,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.6511627906976745,0.64927207411609,0.6576086956521738,0.6504065040650406,0.7458937198067632,"[[39, 30], [15, 45]]","['keloid', 'non_keloid']"
keloid_binary,grouped_seed0_fold0,shared_genes,majority,272,129,"{'non_keloid': 155, 'keloid': 117}","{'keloid': 69, 'non_keloid': 60}",0.46511627906976744,0.2953119232189,0.5,0.31746031746031744,0.5,"[[0, 69], [0, 60]]","['keloid', 'non_keloid']"
