task,feature_set,model,accuracy_mean,accuracy_std,accuracy_count,weighted_f1_mean,weighted_f1_std,weighted_f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,auroc_mean,auroc_std,auroc_count
keloid_binary,profibrotic_module_only,linear_svm,0.6901442441029474,0.14036734645509785,25,0.6876272344175227,0.17011425093870922,25,0.6871557969468995,0.12926727006636993,25,0.6391363578229547,0.16078922225905723,25,0.7158326919186537,0.1550926606082449,25
keloid_binary,profibrotic_module_only,elastic_net_logreg,0.689041282465102,0.140007541909714,25,0.6858617751262613,0.17043725780674027,25,0.6875603170936183,0.12787402023768524,25,0.6379469880560235,0.16053495981477395,25,0.7158326919186537,0.1550926606082449,25
keloid_binary,modules_only,elastic_net_logreg,0.6713816095831041,0.08989961249126108,25,0.6718899128301825,0.10593426337396493,25,0.6598973770699367,0.09752366783962127,25,0.6133515581830781,0.11534001798257433,25,0.7014496976516079,0.1284540901784126,25
keloid_binary,modules_only,linear_svm,0.6707237659564567,0.08805522250647298,25,0.6709850165832079,0.10374599640088153,25,0.6578345533403676,0.09330099226210653,25,0.6121704938638821,0.11285825599464007,25,0.7033664565601186,0.12780544633473734,25
keloid_binary,shared_genes_plus_modules,elastic_net_logreg,0.680467508102915,0.16172685363549127,25,0.6703159641783791,0.1736591697063534,25,0.6583477182203936,0.15408985294162283,25,0.6193364661643053,0.16316299071738863,25,0.7013766117201152,0.15806388448799905,25
keloid_binary,profibrotic_module_only,small_mlp,0.6707054870839342,0.13988781291207078,25,0.6675715309927167,0.14872269517816206,25,0.6667570180406629,0.12396434440415428,25,0.6149038407949554,0.15430637162695765,25,0.716580100786071,0.1563594524716476,25
keloid_binary,shared_genes,elastic_net_logreg,0.6779231530107944,0.16313795279854076,25,0.6670033873479536,0.17651358584127239,25,0.6555711436409675,0.1591700257882542,25,0.6153279670076865,0.16597922018879788,25,0.6956826084804705,0.163397755928527,25
keloid_binary,published_markers_only,linear_svm,0.6620504110338608,0.14484420086417454,25,0.6612007667879706,0.15562151662725196,25,0.6488371533555007,0.15652922909152592,25,0.6027181630840674,0.15997833710734946,25,0.6771831841933765,0.16561880017990696,25
keloid_binary,low_i2_core_only,elastic_net_logreg,0.6705176746671161,0.12938566084656114,25,0.6540467523431804,0.16872597103481732,25,0.6502880638699307,0.12841057764314673,25,0.5973491495700375,0.1552886546591509,25,0.7153655175186442,0.14922845982901095,25
keloid_binary,published_markers_only,elastic_net_logreg,0.6534063831141256,0.14285140374058905,25,0.6520616287610417,0.15361917181629564,25,0.6402519691035038,0.1513715136576932,25,0.5940390036811481,0.15437223439306366,25,0.6813324723104199,0.16036376432710103,25
keloid_binary,low_i2_core_only,linear_svm,0.6642383017285899,0.12943756045118185,25,0.6480087426680942,0.1677322352183192,25,0.6428968148038078,0.12889929751455348,25,0.5913238674234623,0.15490242070804303,25,0.7012414493188033,0.15257239075365348,25
keloid_binary,published_markers_only,hist_gradient_boosting,0.6413463297611652,0.1059027449969826,25,0.6414270878358629,0.12640338936416545,25,0.6604061968180699,0.09115974990222694,25,0.5952364686907612,0.12375869274725064,25,0.6960659574211282,0.1328433216206404,25
keloid_binary,modules_only,random_forest,0.6386177749471621,0.15460046135231398,25,0.6321966427381474,0.1856494167884087,25,0.6639616235091144,0.14037590683925963,25,0.5927104199945493,0.16417848004520044,25,0.6881637421399102,0.17065889607933402,25
keloid_binary,modules_only,hist_gradient_boosting,0.627030353324502,0.1021188888887232,25,0.6270378492311609,0.10994560521355662,25,0.6418432395066687,0.10230781541704306,25,0.575662518296245,0.11555340592329404,25,0.6681804047744393,0.14439674181563872,25
keloid_binary,published_markers_only,random_forest,0.6266947706418939,0.14381992095685697,25,0.6214979923064433,0.15704126435164856,25,0.6393741341597624,0.14457104790788375,25,0.5743057254689587,0.15296690652138276,25,0.6975855457010834,0.14706248444089862,25
keloid_binary,profibrotic_module_only,random_forest,0.6093467326210807,0.09449302583566936,25,0.6137342664766333,0.10452822929486333,25,0.627060505669768,0.11085357870014802,25,0.5623190748719749,0.10727677484321337,25,0.6727155028517652,0.1612556930706411,25
keloid_binary,shared_genes,linear_svm,0.6233433569196216,0.17666337897646603,25,0.6100739482971264,0.20564947314947796,25,0.6339409342754329,0.1474987543784838,25,0.5721658762032227,0.18131901342915974,25,0.6591176081978516,0.16791323986307657,25
keloid_binary,modules_only,small_mlp,0.6052077341963078,0.12417153743491019,25,0.6039034476641177,0.15099669877242727,25,0.6291577753664925,0.09968564738785181,25,0.5619847514997939,0.1314409008756172,25,0.6739264248314306,0.15528650348745066,25
keloid_binary,shared_genes_plus_modules,linear_svm,0.6167667232029,0.17837633836369537,25,0.6031351675147721,0.20690951057839516,25,0.6276067286735401,0.14984399505324408,25,0.5653950753644272,0.18135725079117437,25,0.661404752419157,0.1665365418556773,25
keloid_binary,profibrotic_module_only,knn,0.59512273914825,0.11016928400787336,25,0.6009008032075637,0.11645895579070646,25,0.6129318071577285,0.11441393286896245,25,0.5506492523276623,0.11798131318084631,25,0.6542881247281173,0.13539677512610193,25
keloid_binary,modules_only,knn,0.5977227094733188,0.15772502643579683,25,0.5981067087043559,0.1827551034530995,25,0.6144180252913053,0.14938736324084634,25,0.5545903453933395,0.16992117744479568,25,0.6498254790048555,0.16976098733305023,25
